"Date","Price","Open","High","Low","Change %"
"May 24, 2020","1.2346","1.2179","1.2395","1.2163","1.48%"
"May 17, 2020","1.2166","1.2086","1.2297","1.2075","0.50%"
"May 10, 2020","1.2106","1.2406","1.2438","1.2101","-2.44%"
"May 03, 2020","1.2409","1.2499","1.2504","1.2265","-0.76%"
"Apr 26, 2020","1.2504","1.2369","1.2643","1.2359","1.09%"
"Apr 19, 2020","1.2369","1.2487","1.2505","1.2247","-1.06%"
"Apr 12, 2020","1.2501","1.2464","1.2648","1.2407","0.37%"
"Apr 05, 2020","1.2455","1.2264","1.2488","1.2164","1.57%"
"Mar 29, 2020","1.2262","1.2435","1.2476","1.2206","-1.57%"
"Mar 22, 2020","1.2457","1.1660","1.2486","1.1446","7.00%"
"Mar 15, 2020","1.1643","1.2285","1.2431","1.1409","-5.17%"
"Mar 08, 2020","1.2277","1.3047","1.3200","1.2267","-5.92%"
"Mar 01, 2020","1.3050","1.2801","1.3058","1.2738","1.79%"
"Feb 23, 2020","1.2821","1.2959","1.3018","1.2725","-1.16%"
"Feb 16, 2020","1.2971","1.3036","1.3056","1.2848","-0.58%"
"Feb 09, 2020","1.3047","1.2896","1.3070","1.2871","1.19%"
"Feb 02, 2020","1.2893","1.3216","1.3216","1.2881","-2.33%"
"Jan 26, 2020","1.3201","1.3075","1.3210","1.2976","0.95%"
"Jan 19, 2020","1.3077","1.3002","1.3173","1.2961","0.51%"
"Jan 12, 2020","1.3010","1.3056","1.3119","1.2952","-0.39%"
"Jan 05, 2020","1.3061","1.3075","1.3213","1.3013","-0.21%"
"Dec 29, 2019","1.3088","1.3067","1.3284","1.3054","0.08%"
"Dec 22, 2019","1.3077","1.2993","1.3118","1.2904","0.56%"
"Dec 15, 2019","1.3004","1.3336","1.3424","1.2978","-2.42%"
"Dec 08, 2019","1.3326","1.3137","1.3516","1.3051","1.44%"
"Dec 01, 2019","1.3137","1.2918","1.3168","1.2896","1.57%"
"Nov 24, 2019","1.2934","1.2850","1.2951","1.2826","0.79%"
"Nov 17, 2019","1.2832","1.2905","1.2986","1.2824","-0.53%"
"Nov 10, 2019","1.2901","1.2778","1.2921","1.2778","1.01%"
"Nov 03, 2019","1.2772","1.2944","1.2948","1.2769","-1.26%"
"Oct 27, 2019","1.2935","1.2826","1.2976","1.2806","0.87%"
"Oct 20, 2019","1.2823","1.2926","1.3014","1.2788","-1.16%"
"Oct 13, 2019","1.2973","1.2625","1.2990","1.2514","2.56%"
"Oct 06, 2019","1.2649","1.2327","1.2707","1.2194","2.56%"
"Sep 29, 2019","1.2333","1.2289","1.2414","1.2207","0.36%"
"Sep 22, 2019","1.2289","1.2468","1.2503","1.2270","-1.52%"
"Sep 15, 2019","1.2479","1.2502","1.2583","1.2391","-0.18%"
"Sep 08, 2019","1.2502","1.2268","1.2508","1.2232","1.79%"
"Sep 01, 2019","1.2282","1.2149","1.2354","1.1958","1.02%"
"Aug 25, 2019","1.2158","1.2264","1.2309","1.2139","-0.99%"
"Aug 18, 2019","1.2279","1.2148","1.2294","1.2065","1.06%"
"Aug 11, 2019","1.2150","1.2048","1.2176","1.2014","0.94%"
"Aug 04, 2019","1.2037","1.2145","1.2211","1.2025","-0.97%"
"Jul 28, 2019","1.2155","1.2387","1.2389","1.2079","-1.84%"
"Jul 21, 2019","1.2383","1.2510","1.2525","1.2376","-0.95%"
"Jul 14, 2019","1.2502","1.2572","1.2580","1.2382","-0.58%"
"Jul 07, 2019","1.2575","1.2518","1.2581","1.2440","0.40%"
"Jun 30, 2019","1.2525","1.2694","1.2709","1.2481","-1.34%"
"Jun 23, 2019","1.2695","1.2723","1.2785","1.2662","-0.37%"
"Jun 16, 2019","1.2742","1.2600","1.2750","1.2506","1.19%"
